证券代码,证券简称,综合评级,年度,综合得分,E评级,E得分,S评级,S得分,G评级,G得分
000001.SZ,平安银行,BBB,2009,82.38,CCC,69.87,BB,77.46,AA,91.77
000002.SZ,万科A,BBB,2009,80.3,CCC,69.23,BBB,81.92,BBB,82.41
000004.SZ,ST国华,CCC,2009,66.52,C,47.5,CCC,65.26,BB,77.09
000005.SZ,ST星源,CCC,2009,67,C,56.79,C,56.17,BB,79.55
000006.SZ,深振业A,BB,2009,77.53,CCC,69.01,A,85.68,B,72.63
000007.SZ,全新好,B,2009,70.6,C,55.11,B,74.97,B,71.56
000008.SZ,神州高铁,B,2009,72.35,C,45.9,CCC,66.35,A,89.9
000009.SZ,中国宝安,BB,2009,78.94,CC,60.58,BBB,80.99,A,86.11
000010.SZ,美丽生态,CC,2009,62.71,C,44.88,CC,60.13,B,73.26
000011.SZ,深物业A,B,2009,74.07,C,56.24,BB,76.8,BB,77.35
000012.SZ,南玻A,BB,2009,78.88,CCC,67.13,BBB,80.16,BBB,84.02
000014.SZ,沙河股份,B,2009,73.44,C,53.09,BB,76.8,BB,76.97
000016.SZ,深康佳A,B,2009,70.78,C,52.93,CC,64.98,BBB,83.81
000017.SZ,深中华A,CC,2009,61.82,C,46.19,C,58.2,B,72.25
000019.SZ,深粮控股,B,2009,73.12,C,52.87,B,70.68,A,85.09
000020.SZ,深华发A,BB,2009,76.9,CC,63.1,BB,75.89,BBB,84.63
000021.SZ,深科技,B,2009,74.24,C,55.88,B,70.82,A,85.91
000023.SZ,深天地A,CCC,2009,68.88,C,48.59,B,72.45,BB,76.83
000025.SZ,特力A,B,2009,72.66,C,55.34,BB,75.58,BB,79.11
000026.SZ,飞亚达,BBB,2009,80.3,C,56.31,AAA,100,BBB,84.09
000027.SZ,深圳能源,BBB,2009,81.03,CCC,65.41,A,85.03,A,86.13
000028.SZ,国药一致,BB,2009,79.58,CCC,65.96,AAA,95.12,BBB,80.31
000029.SZ,深深房A,BB,2009,77.93,C,51.51,BBB,82.9,BBB,81.93
000030.SZ,富奥股份,C,2009,57.7,C,45.76,C,53.04,CCC,66.94
000031.SZ,大悦城,BBB,2009,80.51,CC,64.05,A,89.19,BB,77.71
