year,证券代码,代码,公司名称,ESG综合评级
2015,1,000001.SZ,平安银行,B-
2016,1,000001.SZ,平安银行,B-
2017,1,000001.SZ,平安银行,B
2018,1,000001.SZ,平安银行,B
2019,1,000001.SZ,平安银行,B+
2020,1,000001.SZ,平安银行,B+
2021,1,000001.SZ,平安银行,B+
2022,1,000001.SZ,平安银行,B+
2023,1,000001.SZ,平安银行,A-
2015,2,000002.SZ,万科,C+
2016,2,000002.SZ,万科,C
2017,2,000002.SZ,万科,C
2018,2,000002.SZ,万科,B-
2019,2,000002.SZ,万科,C+
2020,2,000002.SZ,万科,B-
2021,2,000002.SZ,万科,B
2022,2,000002.SZ,万科,B+
2023,2,000002.SZ,万科,B+
2018,6,000006.SZ,深振业,B-
2019,6,000006.SZ,深振业,B
2017,8,000008.SZ,神州高铁,C+
2018,8,000008.SZ,神州高铁,C+
2019,8,000008.SZ,神州高铁,C+
2020,8,000008.SZ,神州高铁,B-
2015,9,000009.SZ,宝安集团,C+
2016,9,000009.SZ,宝安集团,C+
2017,9,000009.SZ,宝安集团,C+
2018,9,000009.SZ,宝安集团,B-
2019,9,000009.SZ,宝安集团,B-
2020,9,000009.SZ,宝安集团,B-
2021,9,000009.SZ,宝安集团,B-
2022,9,000009.SZ,宝安集团,B-
2023,9,000009.SZ,宝安集团,C+
2018,12,000012.SZ,南玻集团,B
2019,12,000012.SZ,南玻集团,B
2020,12,000012.SZ,南玻集团,B
2021,12,000012.SZ,南玻集团,B-
2022,12,000012.SZ,南玻集团,B-
2023,12,000012.SZ,南玻集团,B-
2018,21,000021.SZ,深科技,B
2019,21,000021.SZ,深科技,B
2020,21,000021.SZ,深科技,B
2021,21,000021.SZ,深科技,B
2022,21,000021.SZ,深科技,B
2023,21,000021.SZ,深科技,B
2018,25,000025.SZ,特力A,B-
2019,25,000025.SZ,特力A,B-
2020,25,000025.SZ,特力A,B-
2015,27,000027.SZ,深圳能源,B-
2016,27,000027.SZ,深圳能源,B-
2016,27,000027.SZ,深圳能源,B-
2018,27,000027.SZ,深圳能源,C+
2019,27,000027.SZ,深圳能源,B-
2020,27,000027.SZ,深圳能源,B
2021,27,000027.SZ,深圳能源,B
2022,27,000027.SZ,深圳能源,B+
2023,27,000027.SZ,深圳能源,B+
2018,28,000028.SZ,国药一致,B
2019,28,000028.SZ,国药一致,B
2020,28,000028.SZ,国药一致,B
2021,28,000028.SZ,国药一致,B
2022,28,000028.SZ,国药一致,B+
2018,31,000031.SZ,大悦城控股,C+
2019,31,000031.SZ,大悦城控股,C+
2020,31,000031.SZ,大悦城控股,C+
2021,31,000031.SZ,大悦城控股,C+
2022,31,000031.SZ,大悦城控股,B
2023,31,000031.SZ,大悦城控股,B
2015,39,000039.SZ,中集集团,B
2016,39,000039.SZ,中集集团,B-
2016,39,000039.SZ,中集集团,B-
2018,39,000039.SZ,中集集团,B
2019,39,000039.SZ,中集集团,B+
2020,39,000039.SZ,中集集团,B+
2021,39,000039.SZ,中集集团,A-
2022,39,000039.SZ,中集集团,A-
2023,39,000039.SZ,中集集团,A-
2015,46,000046.SZ,泛海控股,B
2016,46,000046.SZ,泛海控股,B
2020,46,000046.SZ,泛海控股,B-
2021,46,000046.SZ,泛海控股,B-
2018,49,000049.SZ,德赛电池,C+
2020,50,000050.SZ,天马,B+
2021,50,000050.SZ,天马,B+
2022,50,000050.SZ,天马,B+
2023,50,000050.SZ,天马,B+
2015,60,000060.SZ,中金岭南,B-
2016,60,000060.SZ,中金岭南,B
2017,60,000060.SZ,中金岭南,B-
2018,60,000060.SZ,中金岭南,B-
2019,60,000060.SZ,中金岭南,B-
2020,60,000060.SZ,中金岭南,B-
